X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,Target
28.19,64.76,6.978,5.247,0.038,2212.0,0.19,0.0,0.0,57.0,81.0,31.783,32.308
28.34,64.7,6.206,5.561,0.151,1256.0,0.2,0.0,-0.1,47.0,98.0,35.376,32.468
28.23,64.63,6.123,5.056,-0.023,2251.0,0.11,0.0,0.1,10.0,81.0,24.723,32.279
28.37,65.07,7.806,5.58,0.076,655.0,0.19,0.0,0.1,17.8,98.0,34.907,32.604
28.26,64.91,7.755,5.611,0.092,2843.0,-0.15,0.0,0.1,41.8,81.0,25.354,32.425
28.31,65.06,7.864,5.511,0.049,609.0,-0.15,0.0,0.1,55.8,81.0,34.907,32.326
28.23,64.91,5.961,4.958,0.062,2175.0,-0.43,0.0,-0.2,11.2,81.0,26.264,32.323
28.26,64.74,8.337,5.349,0.131,470.0,-0.42,0.0,0.1,44.4,98.0,29.114,32.414
28.29,64.48,6.761,5.12,-0.008,2261.0,-0.19,0.0,0.0,10.0,81.0,25.058,32.328
28.27,64.51,7.065,5.373,0.061,1137.0,-0.43,0.0,0.0,10.0,98.0,39.731,32.456
28.34,64.91,7.597,5.108,0.083,462.0,-0.44,0.0,0.3,10.0,98.0,25.862,32.425
28.3,64.76,7.541,5.012,0.093,2212.0,0.16,0.0,-0.1,17.2,98.0,26.063,32.362
28.1,64.8,7.574,5.184,0.025,402.0,-0.43,0.0,-0.1,10.0,98.0,24.735,32.298
28.13,64.81,7.672,5.641,0.028,705.0,-0.44,0.0,0.1,34.6,98.0,33.283,32.295
28.19,65.0,8.087,5.821,0.109,3306.0,-0.15,0.0,-0.2,35.4,81.0,24.127,32.385
28.24,64.99,8.576,5.21,0.148,547.0,0.0,0.0,0.3,41.2,81.0,27.537,32.229
28.22,64.98,8.04,5.528,0.087,1564.0,0.13,0.0,-0.1,30.0,-81.36,37.963,32.341
28.29,64.84,6.903,5.564,-0.048,1324.0,-0.4,0.0,-0.2,47.8,81.0,25.422,32.399
28.27,64.95,7.734,5.243,0.135,2202.0,-0.4,0.0,-0.1,65.4,98.0,31.851,32.469
28.26,65.2,7.104,5.604,0.046,1119.0,-0.43,0.0,-0.2,43.8,-22.36,27.47,32.421
28.25,64.86,6.821,5.427,0.099,953.0,-0.44,0.0,-0.2,52.4,-81.36,30.686,32.373
28.29,64.71,6.78,5.748,0.071,424.0,-0.15,0.0,-0.1,57.6,81.0,33.283,32.48
28.28,64.62,6.888,5.644,0.064,1277.0,0.16,0.0,-0.3,64.0,98.0,280.14,32.426
28.24,64.81,7.476,5.402,0.056,968.0,0.41,0.0,-0.1,62.2,-81.36,24.187,32.417
28.23,65.03,8.145,5.532,0.008,1268.0,-0.11,0.0,-0.05,63.2,81.0,24.33,32.374
28.2,64.72,6.319,5.462,0.036,696.0,-0.35,0.0,-0.1,59.4,-81.36,39.396,32.23
28.2,64.93,7.627,5.275,0.025,2457.0,-0.48,0.0,-0.2,22.0,98.0,29.48,32.317
28.33,64.64,7.163,5.468,0.046,1271.0,-0.4,0.0,-0.1,43.0,98.0,276.0,32.421
28.27,65.07,6.206,5.413,0.073,1318.0,-0.35,0.0,-0.1,12.8,98.0,31.021,32.494
28.23,65.05,6.2,5.212,0.095,2049.0,-0.43,0.0,-0.1,69.0,81.0,29.614,32.376
28.2,64.88,8.476,5.706,0.07,2545.0,-0.36,0.0,-0.2,47.4,81.0,38.099,32.235
28.25,65.16,6.469,5.295,0.047,981.0,0.17,0.0,0.2,61.0,98.0,29.48,32.493
28.19,64.49,6.895,5.143,0.076,2261.0,0.2,0.0,-0.1,35.6,98.0,25.058,32.312
28.17,64.84,8.325,5.49,0.086,2790.0,-0.48,0.0,-0.1,23.0,81.0,38.031,32.145
28.23,64.76,7.668,5.863,0.112,830.0,-0.43,0.0,0.3,62.8,81.0,23.529,32.263
28.26,64.85,7.268,5.039,0.057,634.0,-0.15,0.0,0.4,46.4,81.0,25.996,32.21
28.29,64.73,7.349,5.325,0.07,413.0,0.17,0.0,-0.1,28.4,81.0,274.62,32.407
28.26,64.78,6.107,5.494,0.03,1951.0,-0.19,0.0,-0.2,33.6,98.0,35.108,32.379
28.22,64.71,6.855,5.383,0.021,2321.0,0.49,0.0,-0.1,30.6,98.0,24.465,32.435
28.23,64.85,6.802,5.763,0.118,1235.0,-0.11,0.0,-0.1,23.2,98.0,23.324,32.403
28.24,64.99,6.51,5.237,0.003,1376.0,0.0,0.0,-0.2,50.6,98.0,23.852,32.457
28.27,64.88,7.399,5.106,0.086,586.0,0.45,0.0,0.2,10.0,-81.36,25.929,32.34
28.23,64.98,7.736,5.291,0.055,2060.0,-0.35,0.0,-0.3,10.8,98.0,29.346,32.441
28.26,64.87,7.797,5.237,-0.003,2084.0,0.15,0.0,-0.1,42.4,98.0,31.851,32.482
28.4,64.77,5.927,5.735,0.023,1454.0,0.16,0.0,0.1,35.8,98.0,33.351,32.441
28.19,64.84,7.255,5.224,0.029,881.0,0.0,0.0,0.1,69.2,81.0,24.12,32.3
28.12,64.96,8.148,5.444,0.005,955.0,-0.35,0.0,-0.1,53.8,81.0,24.465,32.239
28.1,65.0,6.801,5.612,0.059,1837.0,-0.39,0.0,0.0,58.0,81.0,37.721,32.155
28.28,64.72,6.902,5.262,0.02,1308.0,-0.44,0.0,0.0,10.0,81.0,29.046,32.361
28.23,65.12,8.302,5.239,0.167,2681.0,0.41,0.0,-0.2,10.0,81.0,29.614,32.249
28.27,64.77,7.295,5.334,0.136,1245.0,0.0,0.0,-0.1,28.6,81.0,274.62,32.315
28.36,64.66,5.978,5.577,0.098,1844.0,0.0,0.0,0.1,38.2,81.0,35.309,32.382
28.27,64.88,7.38,5.504,0.069,944.0,-0.48,0.0,-0.1,48.2,81.0,24.12,32.233
28.26,65.0,7.229,5.466,0.054,657.0,0.45,0.0,0.1,10.0,98.0,31.021,32.531
28.2,64.91,6.805,5.442,0.099,785.0,0.13,0.0,0.1,64.6,81.0,30.753,32.265
28.27,65.02,7.812,5.235,0.037,1927.0,0.2,0.0,0.0,42.2,81.0,29.681,32.394
28.23,64.7,7.448,5.551,0.079,521.0,-0.4,0.0,-0.2,14.8,81.0,276.0,32.278
28.22,64.89,7.877,5.145,0.055,2463.0,-0.11,0.0,0.0,10.0,98.0,31.919,32.375
28.28,64.65,7.562,5.324,-0.029,996.0,-0.35,0.0,-0.1,10.0,81.0,29.318,32.344
28.31,64.72,5.195,5.313,0.085,1567.0,0.2,0.0,-0.2,45.8,98.0,29.182,32.368
28.17,64.8,7.803,5.239,0.08,2925.0,0.17,0.0,0.1,10.0,81.0,31.647,32.247
28.25,64.7,6.163,5.297,-0.072,1179.0,0.16,0.0,-0.1,10.4,81.0,28.977,32.332
28.17,64.83,8.48,5.615,0.085,2859.0,-0.39,0.0,-0.2,67.4,98.0,38.099,32.311
28.15,64.85,6.205,4.887,-0.003,1107.0,0.13,0.0,-0.2,54.8,81.0,37.922,32.319
28.17,64.82,7.222,5.176,0.052,445.0,-0.11,0.0,-0.3,38.4,98.0,24.667,32.457
28.25,64.92,6.353,5.537,0.07,878.0,-0.3,0.0,-0.1,10.0,-81.36,25.829,32.335
28.28,64.82,7.268,5.672,0.042,737.0,-0.11,0.0,0.4,49.6,98.0,33.215,32.394
28.35,64.55,7.078,5.087,0.071,1568.0,-0.19,0.0,0.5,49.6,98.0,24.991,32.541
28.28,64.76,6.927,5.246,0.046,2990.0,-0.48,0.0,0.1,26.4,81.0,31.647,32.425
28.2,64.97,7.553,5.335,0.168,757.0,-0.44,0.0,0.4,34.8,81.0,26.331,32.296
28.27,64.93,8.077,5.573,0.027,2863.0,-0.19,0.0,-0.2,19.6,81.0,25.422,32.301
28.24,64.81,6.277,5.114,0.072,515.0,-0.4,0.0,-0.1,16.0,81.0,26.398,32.434
28.09,64.8,6.859,5.194,0.072,1988.0,0.2,0.0,-0.2,10.0,81.0,24.33,32.281
28.2,65.11,6.935,5.258,0.111,709.0,0.19,0.0,-0.1,63.4,81.0,29.279,32.22
28.25,64.75,6.17,5.677,0.072,1518.0,-0.4,0.0,-0.1,13.0,-81.36,35.242,32.462
28.27,64.99,7.922,5.195,0.133,2241.0,-0.43,0.0,-0.2,52.8,81.0,29.748,32.377
28.27,64.9,7.171,5.277,0.067,417.0,-0.35,0.0,0.1,10.0,98.0,272.55,32.354
28.32,64.7,7.475,5.415,0.064,473.0,-0.44,0.0,0.4,60.0,98.0,275.31,32.432
28.24,64.97,8.15,5.281,0.02,1257.0,0.49,0.0,-0.3,52.8,81.0,27.537,32.379
28.21,64.71,4.12,5.373,0.049,1823.0,-0.4,0.0,0.3,56.0,-81.36,30.016,32.38
28.22,65.01,6.728,5.309,0.066,1311.0,0.19,0.0,-0.1,54.0,81.0,29.614,32.438
28.24,64.9,6.909,5.847,0.039,759.0,-0.35,0.0,0.0,47.2,81.0,23.324,32.267
28.32,64.91,7.359,5.238,0.045,725.0,-0.39,0.0,-0.3,69.6,81.0,23.986,32.49
28.23,64.89,7.125,5.268,0.09,1198.0,-0.4,0.0,0.0,33.2,81.0,29.413,32.331
28.22,64.68,7.743,5.626,0.019,974.0,0.41,0.0,-0.1,29.0,98.0,38.86,32.362
28.28,64.8,7.351,5.052,0.05,372.0,-0.48,0.0,-0.2,40.8,81.0,25.996,32.351
28.28,64.79,6.158,5.625,0.031,2174.0,-0.19,0.0,-0.2,40.4,98.0,35.175,32.35
28.29,65.06,6.012,5.352,0.087,1005.0,-0.11,0.0,-0.1,26.2,98.0,29.547,32.537
28.21,64.89,7.865,5.214,0.06,2254.0,0.41,0.0,-0.3,48.2,81.0,32.054,32.269
28.22,65.06,7.473,5.446,0.074,1115.0,-0.44,0.0,0.0,47.4,81.0,31.021,32.302
28.3,64.52,7.101,5.475,0.023,1182.0,0.41,0.0,-0.2,29.4,81.0,39.731,32.46
28.26,64.73,6.798,5.552,0.171,2416.0,-0.35,0.0,-0.1,54.8,81.0,35.376,32.233
28.17,64.6,6.14,5.232,0.061,2383.0,-0.4,0.0,0.0,16.0,-81.36,24.589,32.305
28.25,64.7,5.618,5.333,0.109,1636.0,-0.43,0.0,0.1,56.6,81.0,29.114,32.345
28.25,65.08,6.666,5.299,-0.026,1746.0,-0.19,0.0,0.1,10.0,81.0,29.614,32.27
28.22,64.79,6.739,5.202,0.078,2325.0,0.13,0.0,0.4,66.2,98.0,24.656,32.401
28.26,64.86,7.244,5.191,0.104,379.0,0.0,0.0,0.5,15.6,81.0,271.86,32.299
28.32,64.71,6.984,5.633,0.096,1253.0,-0.44,0.0,-0.1,10.8,98.0,274.62,32.452
28.3,65.05,6.91,5.245,0.031,790.0,0.41,0.0,0.0,62.4,81.0,29.279,32.336
28.17,64.98,7.713,5.351,0.053,886.0,-0.15,0.0,-0.1,17.8,81.0,20.502,32.228
28.25,64.86,7.521,5.683,0.047,623.0,0.45,0.0,-0.2,23.4,98.0,33.215,32.535
28.26,64.99,6.135,5.483,0.063,1074.0,-0.43,0.0,0.1,18.8,81.0,30.753,32.212
28.35,64.84,7.267,5.775,0.05,578.0,0.16,0.0,0.1,36.8,98.0,33.215,32.461
28.2,64.99,6.048,5.808,0.1,1490.0,-0.44,0.0,0.5,41.4,81.0,23.256,32.174
28.26,64.62,6.279,5.077,0.04,2331.0,-0.4,0.0,-0.1,55.8,81.0,24.656,32.285
28.3,64.63,7.034,5.64,0.071,870.0,0.16,0.0,-0.1,40.0,98.0,277.38,32.49
28.31,64.96,8.432,5.689,0.112,2277.0,-0.36,0.0,-0.3,10.0,98.0,37.963,32.488
28.26,64.69,5.344,5.346,0.059,1716.0,-0.15,0.0,0.4,21.6,-81.36,29.114,32.357
28.12,64.99,7.41,5.442,0.077,1696.0,-0.43,0.0,-0.1,10.0,98.0,37.922,32.344
28.21,65.06,7.385,5.477,0.078,571.0,-0.35,0.0,0.1,49.2,98.0,37.922,32.378
28.26,64.81,7.905,5.436,0.059,1143.0,-0.48,0.0,-0.1,41.8,81.0,273.93,32.411
28.27,65.24,6.775,5.594,0.019,1308.0,0.16,0.0,-0.1,10.0,-81.36,27.336,32.337
28.19,64.66,8.123,5.36,0.117,2506.0,-0.35,0.0,0.0,32.4,98.0,39.664,32.296
28.25,64.73,7.103,5.187,0.05,2144.0,-0.44,0.0,-0.1,30.6,81.0,24.723,32.419
28.33,64.68,7.235,5.437,0.072,1166.0,-0.35,0.0,-0.1,46.4,98.0,273.93,32.518
28.22,64.94,7.403,5.257,-0.02,832.0,0.45,0.0,0.4,10.0,-81.36,23.986,32.351
28.28,64.68,7.844,5.676,0.056,996.0,-0.19,0.0,-0.1,32.0,98.0,38.994,32.406
28.23,64.95,7.556,5.747,-0.036,543.0,0.11,0.0,0.0,10.0,81.0,33.351,32.318
28.29,64.65,6.282,5.459,0.051,1513.0,0.41,0.0,-0.2,33.2,81.0,39.463,32.451
28.29,64.75,6.123,5.408,0.118,982.0,0.19,0.0,-0.2,22.8,98.0,28.609,32.512
28.27,64.84,6.419,5.374,0.15,734.0,-0.3,0.0,-0.2,22.2,98.0,273.24,32.461
28.18,64.92,7.191,5.33,0.064,752.0,-0.43,0.0,-0.1,39.2,98.0,20.502,32.358
28.19,64.73,8.271,5.338,0.05,409.0,-0.48,0.0,0.1,12.6,81.0,28.841,32.198
28.15,64.54,7.018,5.279,0.046,823.0,0.13,0.0,-0.2,53.8,98.0,21.105,32.274
28.16,65.01,6.523,5.236,0.047,2212.0,0.19,0.0,-0.2,59.8,98.0,29.681,32.333
28.22,64.94,7.976,5.159,0.014,884.0,-0.35,0.0,-0.1,65.6,81.0,27.47,32.164
28.32,64.97,7.674,5.535,0.083,798.0,-0.36,0.0,-0.1,33.4,98.0,37.827,32.507
28.31,64.81,7.67,5.558,0.118,2753.0,-0.43,0.0,-0.1,10.0,98.0,25.625,32.491
28.23,64.49,6.737,5.143,0.053,2377.0,-0.35,0.0,-0.2,21.4,81.0,25.125,32.314
28.23,64.6,7.229,5.249,0.056,605.0,0.0,0.0,-0.1,28.4,81.0,277.38,32.292
28.21,64.95,7.038,5.293,0.134,772.0,0.45,0.0,0.0,10.0,81.0,20.569,32.298
28.3,64.95,6.869,5.923,0.061,942.0,-0.44,0.0,-0.3,53.0,98.0,23.119,32.544
28.22,64.82,7.143,5.816,0.033,858.0,-0.15,0.0,0.1,10.0,-81.36,23.256,32.414
28.24,64.63,7.919,5.793,0.117,553.0,-0.35,0.0,-0.2,21.0,81.0,38.994,32.312
28.19,64.88,6.402,5.792,-0.036,1067.0,-0.3,0.0,-0.1,14.4,81.0,23.187,32.223
28.15,65.06,6.281,5.242,0.038,1191.0,-0.48,0.0,0.4,58.2,-81.36,31.088,32.262
28.28,65.08,6.441,5.295,0.085,1346.0,0.17,0.0,0.4,64.8,81.0,29.547,32.431
28.32,64.76,8.8,5.373,0.053,420.0,-0.35,0.0,0.1,42.0,98.0,38.927,32.481
28.18,64.51,6.809,5.136,0.104,2288.0,-0.19,0.0,-0.2,69.0,98.0,25.058,32.395
28.31,64.57,7.342,5.368,0.051,1076.0,-0.04,0.0,0.4,19.6,-81.36,39.731,32.481
28.16,64.88,7.498,5.413,0.103,664.0,0.2,0.0,0.4,21.2,98.0,24.254,32.333
28.27,65.01,6.595,5.219,-0.037,964.0,-0.35,0.0,-0.1,25.2,81.0,23.852,32.354
28.28,64.96,8.11,5.236,0.1,732.0,-0.35,0.0,0.4,25.8,81.0,27.403,32.285
28.21,64.61,6.855,5.425,0.06,1439.0,-0.03,0.0,0.3,29.2,-81.36,28.877,32.305
28.16,64.83,6.943,5.813,0.033,950.0,-0.4,0.0,-0.3,59.6,98.0,23.324,32.35
28.16,64.48,7.019,5.13,-0.022,2270.0,-0.43,0.0,-0.2,64.2,98.0,25.058,32.318
28.32,64.61,7.221,5.658,0.093,903.0,-0.4,0.0,-0.2,53.6,98.0,276.0,32.452
28.27,64.64,8.15,5.333,0.033,333.0,-0.04,0.0,-0.1,10.0,98.0,29.114,32.316
28.29,64.98,6.127,5.482,0.04,923.0,-0.35,0.0,0.0,44.0,-81.36,30.82,32.381
28.3,64.87,6.423,5.315,0.087,943.0,0.49,0.0,0.3,58.0,81.0,272.55,32.309
28.25,64.93,7.179,5.222,0.004,1854.0,-0.48,0.0,-0.2,42.6,98.0,30.016,32.493
28.23,64.82,5.949,5.104,0.067,2349.0,0.13,0.0,0.4,66.2,98.0,24.388,32.403
28.28,64.59,6.155,5.309,0.05,948.0,-0.11,0.0,0.0,10.0,81.0,39.597,32.281
28.27,65.03,7.79,5.372,0.056,408.0,0.45,0.0,-0.2,11.8,81.0,38.86,32.348
28.3,64.82,7.272,5.094,0.066,2169.0,-0.4,0.0,-0.1,34.0,98.0,25.929,32.517
28.25,64.78,6.906,5.457,0.093,758.0,-0.4,0.0,0.1,26.6,-23.36,31.021,32.389
28.25,64.48,6.814,5.415,0.083,1596.0,-0.19,0.0,0.0,32.6,81.0,29.011,32.265
28.29,64.58,7.248,5.444,0.064,1534.0,0.16,0.0,0.4,10.0,-81.36,39.731,32.528
28.25,64.96,6.244,5.263,0.043,668.0,-0.44,0.0,0.4,53.8,-81.36,29.681,32.318
28.26,64.66,6.349,5.111,0.074,2516.0,-0.11,0.0,-0.1,43.8,-81.36,24.388,32.364
28.31,64.69,5.816,5.501,0.048,1557.0,-0.39,0.0,-0.1,63.0,81.0,35.376,32.393
28.16,64.98,7.268,5.323,0.127,877.0,-0.4,0.0,0.1,20.2,81.0,20.569,32.198
28.17,65.16,5.872,5.224,-0.023,940.0,-0.44,0.0,0.1,50.8,81.0,27.202,32.191
28.19,64.68,6.796,5.646,0.067,924.0,0.2,0.0,0.4,46.6,98.0,33.487,32.296
28.23,64.9,7.305,5.317,0.09,2920.0,-0.39,0.0,0.0,20.4,81.0,29.882,32.294
28.29,64.86,7.913,5.164,0.063,2073.0,-0.35,0.0,-0.2,56.8,81.0,31.987,32.384
28.25,64.82,6.328,5.271,0.125,739.0,-0.38,0.0,0.4,10.0,98.0,274.62,32.281
28.13,64.84,6.198,5.506,0.109,1480.0,-0.44,0.0,0.4,55.2,81.0,38.056,32.193
28.22,65.04,6.041,5.262,0.09,1175.0,0.47,0.0,0.0,37.6,81.0,27.403,32.23
28.29,64.84,7.6,5.273,0.032,2687.0,-0.35,0.0,-0.2,10.0,-81.36,31.783,32.439
28.3,64.93,8.558,5.57,0.062,2768.0,0.2,0.0,-0.2,31.8,81.0,25.422,32.411
28.28,64.62,6.827,5.325,0.114,1197.0,-0.35,0.0,0.2,56.2,81.0,28.81,32.424
28.26,64.99,6.906,5.713,0.049,956.0,-0.43,0.0,0.3,50.8,81.0,20.502,32.391
28.28,65.04,6.004,5.234,0.104,916.0,-0.39,0.0,0.2,47.6,81.0,27.403,32.273
28.32,64.8,7.142,5.578,0.074,1280.0,-0.4,0.0,-0.2,69.6,-81.36,25.422,32.463
28.29,64.88,5.992,5.124,-0.147,561.0,0.45,0.0,0.0,40.6,-22.36,26.197,32.441
28.23,65.16,8.087,5.228,0.036,1117.0,-0.35,0.0,-0.1,10.0,81.0,29.48,32.264
28.27,64.84,7.273,5.193,0.096,244.0,0.49,0.0,0.1,64.8,81.0,271.86,32.365
28.24,64.97,8.555,5.512,0.156,1365.0,-0.48,0.0,-0.1,56.4,81.0,37.895,32.384
28.21,64.97,6.432,5.227,0.014,1008.0,-0.4,0.0,0.0,36.0,81.0,23.986,32.363
28.33,64.85,7.854,5.541,0.047,1732.0,-0.35,0.0,0.1,51.4,-81.36,25.557,32.475
28.17,64.72,7.943,5.591,0.077,2705.0,-0.36,0.0,-0.2,23.0,-81.36,26.599,32.306
28.3,64.86,7.199,5.598,0.094,931.0,-0.36,0.0,-0.1,65.4,98.0,25.693,32.488
28.17,65.15,5.925,4.824,0.072,2736.0,-0.4,0.0,-0.1,32.8,98.0,27.202,32.385
28.29,65.06,7.807,5.56,0.083,876.0,0.19,0.0,0.4,13.2,98.0,34.84,32.512
28.27,65.0,7.917,5.252,0.1,1890.0,-0.35,0.0,-0.2,10.0,81.0,29.748,32.379
28.26,64.98,6.953,5.457,-0.006,530.0,0.2,0.0,-0.2,22.0,81.0,30.82,32.385
28.21,65.04,8.114,5.273,0.026,1407.0,-0.48,0.0,-0.1,23.0,98.0,24.262,32.46
28.16,64.83,8.063,5.508,0.076,2801.0,-0.3,0.0,0.5,61.2,81.0,26.264,32.393
28.28,65.11,7.402,5.437,0.065,757.0,-0.48,0.0,0.0,21.8,81.0,30.753,32.242
28.2,64.99,8.233,5.403,0.08,813.0,-0.11,0.0,0.0,10.0,98.0,24.262,32.375
28.27,64.64,6.245,5.128,0.004,2206.0,0.11,0.0,0.1,16.0,81.0,24.723,32.275
28.3,64.89,7.265,5.85,0.064,763.0,-0.04,0.0,-0.1,36.2,-81.36,23.187,32.329
28.33,65.03,7.547,5.402,0.067,1554.0,-0.11,0.0,0.4,44.6,98.0,38.726,32.475
28.23,64.97,7.518,5.164,0.094,753.0,-0.15,0.0,0.2,47.8,81.0,23.919,32.408
28.23,64.83,7.047,5.045,0.076,1553.0,-0.04,0.0,0.0,77.4,-81.36,27.47,32.364
28.28,64.91,6.96,5.557,0.047,990.0,-0.4,0.0,0.4,55.8,98.0,25.693,32.381
28.25,64.67,6.955,5.121,0.053,2246.0,0.0,0.0,-0.2,57.4,81.0,24.857,32.386
28.27,64.59,5.987,5.141,0.048,2181.0,0.0,0.0,-0.2,10.0,81.0,24.589,32.349
28.27,64.92,7.749,5.561,0.052,1220.0,0.49,0.0,-0.3,17.8,98.0,37.759,32.55
28.33,65.09,7.841,5.439,0.154,341.0,-0.48,0.0,0.4,67.8,81.0,34.907,32.335
28.16,64.76,7.904,5.229,-0.041,2302.0,0.22,0.0,-0.1,28.2,98.0,31.783,32.274
28.34,64.67,6.32,5.612,0.097,1437.0,0.0,0.0,-0.1,10.4,-81.36,35.309,32.46
28.08,64.94,6.833,5.598,0.034,1672.0,-0.39,0.0,0.0,57.6,81.0,37.721,32.155
28.22,65.02,7.142,5.632,0.049,559.0,-0.11,0.0,0.0,32.0,98.0,27.47,32.367
28.2,64.92,7.919,5.534,0.077,981.0,0.2,0.0,0.0,15.0,-81.36,26.465,32.431
28.22,65.1,5.964,5.587,-0.01,566.0,-0.4,0.0,-0.1,63.6,98.0,27.671,32.441
28.28,64.63,5.277,5.114,0.072,2865.0,0.16,0.0,0.3,10.0,98.0,24.656,32.541
28.27,64.68,7.274,5.618,0.071,1921.0,-0.11,0.0,0.4,27.4,81.0,276.0,32.452
28.32,64.81,6.349,5.248,0.12,1844.0,-0.3,0.0,0.0,33.0,98.0,31.851,32.459
28.2,65.06,6.161,5.357,0.063,1557.0,-0.35,0.0,-0.3,20.6,98.0,29.614,32.383
28.15,64.9,6.174,5.387,0.026,1522.0,0.16,0.0,-0.1,10.0,98.0,37.989,32.327
28.21,65.05,6.676,5.272,0.026,1252.0,0.49,0.0,-0.1,33.6,81.0,29.748,32.361
28.24,65.0,7.252,5.284,0.093,1640.0,-0.04,0.0,-0.3,39.4,81.0,29.547,32.341
28.23,65.07,6.641,5.277,0.089,1289.0,0.2,0.0,0.5,66.0,81.0,29.547,32.335
28.24,64.9,6.945,5.379,0.146,775.0,-0.36,0.0,0.1,32.4,98.0,30.753,32.459
28.29,64.78,6.973,5.215,0.125,2589.0,0.49,0.0,-0.1,39.4,-81.36,31.715,32.47
28.08,64.96,6.815,5.571,0.111,2174.0,-0.35,0.0,0.4,59.0,81.0,37.788,32.137
28.22,65.08,7.891,5.209,0.059,896.0,-0.19,0.0,0.0,65.2,-81.36,27.47,32.326
28.3,64.92,8.87,5.11,-0.003,625.0,0.0,0.0,0.0,50.2,98.0,27.403,32.385
28.26,64.87,5.996,5.899,-0.014,916.0,-0.44,0.0,0.0,10.0,81.0,23.119,32.337
28.2,64.76,7.944,5.242,0.084,1808.0,-0.48,0.0,-0.4,51.4,81.0,31.987,32.229
28.23,64.83,5.916,5.112,0.08,683.0,0.45,0.0,-0.1,33.4,81.0,26.063,32.364
28.26,64.6,6.226,5.218,0.013,2361.0,0.19,0.0,-0.1,62.8,81.0,24.79,32.42
28.21,64.59,8.335,5.454,0.075,752.0,0.13,0.0,0.3,61.6,98.0,39.664,32.398
28.24,64.88,7.833,5.188,0.127,2335.0,-0.4,0.0,-0.1,10.0,98.0,31.919,32.482
28.23,64.89,7.003,5.558,0.106,1749.0,-0.39,0.0,0.1,55.2,-81.36,26.398,32.449
28.34,64.67,6.005,5.47,0.109,873.0,-0.4,0.0,-0.3,23.2,81.0,39.53,32.386
28.23,64.78,8.098,5.519,0.079,1059.0,-0.4,0.0,0.0,65.8,98.0,26.599,32.469
28.2,64.89,7.491,5.208,0.033,1390.0,-0.36,0.0,0.1,61.6,81.0,29.614,32.283
28.28,64.69,7.276,5.266,0.107,1144.0,-0.35,0.0,0.0,34.8,81.0,29.114,32.435
28.32,64.81,6.312,5.163,0.056,1826.0,0.17,0.0,0.4,26.8,81.0,24.455,32.496
28.22,64.67,4.585,5.442,0.041,1651.0,-0.19,0.0,-0.1,10.0,98.0,39.53,32.366
28.21,64.89,6.936,5.473,0.153,914.0,-0.4,0.0,-0.1,51.8,81.0,30.686,32.266
28.31,65.08,6.506,5.491,0.065,1163.0,-0.36,0.0,-0.1,65.4,81.0,31.021,32.357
28.25,65.11,7.844,5.612,0.069,335.0,-0.11,0.0,-0.1,36.8,81.0,34.907,32.176
28.26,64.72,7.999,5.374,0.059,707.0,0.2,0.0,0.1,39.0,81.0,29.25,32.398
28.29,64.87,7.765,5.239,0.076,1831.0,-0.35,0.0,-0.2,59.2,81.0,31.783,32.265
28.18,64.83,7.246,5.395,0.003,816.0,0.2,0.0,0.0,32.4,98.0,38.056,32.325
